,coconut_id,contains_sugar,contains_ring_sugars,contains_linear_sugars,molecular_weight,npl_score,number_of_carbons,number_of_nitrogens,number_of_oxygens,fsp3,hBondAcceptorCount,hBondDonorCount,lipinskiRuleOf5Failures,numberSpiroAtoms,xlogp
71,CNP0165892,0,False,False,353.36932010333294,0.980256137354176,20,1,5,0.4,6,0,0,0,0.9870000000000001
72,CNP0436862,1,True,False,743.8035992077665,1.223056717053392,39,5,10,0.35897435897435903,15,10,4,0,2.237999999999999
73,CNP0197172,0,False,False,361.36163981651356,0.101891761306207,19,3,1,0.31578947368421,4,1,0,0,1.5630000000000002
74,CNP0094295,0,False,False,601.7752112033423,0.8954116008749471,40,1,4,0.275,5,3,3,0,7.7570000000000014
75,CNP0080376,0,False,False,339.5134438170584,1.6751587839069262,20,1,3,0.9,4,1,2,0,5.188
76,CNP0224585,0,False,False,318.32187337967656,1.541101258117859,17,0,6,0.35294117647058804,6,1,0,0,0.510999999999999
77,CNP0436863,0,False,False,162.19210754070593,-0.22562857705193,8,4,0,0.0,4,4,0,0,0.083
78,CNP0154886,0,False,False,497.5810691939883,1.565969680556217,28,1,7,0.535714285714285,8,3,0,0,2.837999999999999
79,CNP0108227,0,False,False,630.7253841899635,1.668335622359581,37,0,9,0.45945945945945904,9,3,1,0,3.572999999999998
80,CNP0325511,0,False,False,1041.2241244025176,2.424416232321447,53,0,20,0.886792452830188,20,6,4,0,1.662
81,CNP0098894,0,False,False,711.7137009739472,1.4111136626394751,35,3,13,0.457142857142857,16,9,3,0,0.341999999999999
82,CNP0229482,0,False,False,436.30351611986026,2.372085611051853,13,0,14,1.0,14,8,2,0,-4.801999999999998
83,CNP0436864,0,False,False,566.900140417773,0.39936538478162503,41,0,1,0.365853658536585,1,0,3,0,13.955000000000002
84,CNP0026222,0,False,False,189.03881178119613,-0.6159001594878061,8,0,1,0.125,1,0,0,0,1.976
85,CNP0349670,0,False,False,415.4803402595242,1.250603612226517,23,1,6,0.521739130434782,7,2,0,0,3.081
86,CNP0019831,0,False,False,500.47039248327746,0.132136527990582,23,10,4,0.260869565217391,14,2,2,0,-1.468999999999999
87,CNP0253962,0,False,False,350.7940826809049,2.110237831086919,18,0,5,0.611111111111111,5,1,0,0,0.35500000000000004
88,CNP0301228,0,False,False,340.8455878660049,0.635548448521504,17,2,3,0.5882352941176471,5,2,0,0,3.196999999999999
89,CNP0119942,0,False,False,468.6325269771596,1.028143288384058,27,4,3,0.481481481481481,7,1,1,0,4.090999999999999
90,CNP0174559,0,False,False,353.36932010333294,0.38909960484451606,20,1,5,0.25,6,0,0,0,1.438
91,CNP0420609,0,False,False,978.2178008885064,2.19965684327626,58,1,12,0.6724137931034481,13,10,3,2,2.43
92,CNP0269706,0,False,False,443.8793273808497,0.015049332539777001,26,1,4,0.07692307692307601,5,0,0,0,3.8
93,CNP0273758,0,False,False,217.26419102780562,-0.140681593237201,13,1,2,0.30769230769230704,3,0,0,0,1.952
94,CNP0368915,0,False,False,436.8420214815507,0.09922321234416101,24,0,6,0.08333333333333301,6,0,0,0,2.825
95,CNP0005605,0,False,False,361.4792057081756,1.7632714121235962,20,3,3,0.8,6,3,0,0,-0.272
96,CNP0298683,0,False,False,887.0175209227259,2.620088179811111,44,0,18,0.9772727272727271,18,9,3,1,0.8859999999999991
97,CNP0295202,0,False,False,432.42141216927945,1.471673217677504,22,0,9,0.409090909090909,9,3,0,0,0.43399999999999905
98,CNP0125965,0,False,False,770.988288594515,2.509277382032475,41,0,13,0.951219512195121,13,9,5,0,5.01
99,CNP0406704,0,False,False,452.454214932074,1.183935518546439,25,0,8,0.32,8,1,0,0,2.4210000000000003
100,CNP0426918,0,False,False,1939.301910972393,1.022580271971707,91,21,25,0.6923076923076921,46,22,4,0,-3.369000000000001
101,CNP0256263,0,False,False,476.43095792120624,1.00381137601535,23,0,11,0.347826086956521,11,6,2,0,-0.41399999999999904
102,CNP0099273,0,False,False,688.8891944799731,2.492870241685165,39,0,10,0.923076923076923,10,7,3,0,5.198999999999999
103,CNP0184373,0,False,False,338.39613530707084,2.258105673107549,18,0,6,0.833333333333333,6,2,0,1,0.17799999999999902
104,CNP0286137,0,False,False,310.3445353181138,0.8388464404470851,19,0,4,0.210526315789473,4,0,0,0,1.972
105,CNP0249302,0,False,False,817.0137158540932,2.6226008919682,42,0,15,1.0,15,11,4,0,3.509999999999998
106,CNP0307608,0,False,False,512.7648235032225,2.318640710215619,33,0,4,0.8484848484848481,4,2,2,0,9.139000000000001
107,CNP0278893,0,False,False,148.24514692588065,0.443768628256182,11,0,0,0.45454545454545403,0,0,0,0,4.226
108,CNP0436865,0,False,False,1051.4060559586512,1.8166340329225612,64,6,7,0.640625,13,8,5,1,7.443000000000003
109,CNP0204529,0,False,False,593.7929686820136,2.246180739573278,33,1,8,0.696969696969697,9,5,2,0,3.586000000000001
110,CNP0236778,0,False,False,316.39217984106847,1.605748153046419,19,0,4,0.5789473684210521,4,0,0,0,1.456
111,CNP0323545,0,False,False,344.31613269638234,1.1218253358363,18,0,7,0.16666666666666602,7,2,0,0,1.576
112,CNP0287048,0,False,False,340.4169172243591,1.622121041041392,20,2,3,0.55,5,3,0,0,1.373
113,CNP0244268,0,False,False,338.3546761424712,0.8699293833516331,20,0,5,0.2,5,1,0,0,0.9610000000000001
114,CNP0195432,0,False,False,624.5037289089996,1.175400755969849,30,0,15,0.2,15,0,3,0,3.167
115,CNP0436866,0,False,False,227.3021394014638,2.514865729418619,15,1,1,0.9333333333333331,1,1,0,0,3.4050000000000002
116,CNP0162099,0,False,False,213.23569360221705,-0.055898360319087,12,3,1,0.16666666666666602,4,1,0,0,-0.332
117,CNP0340048,0,False,False,378.3755528636165,0.8374899099188551,22,0,6,0.18181818181818102,6,1,0,0,1.919999999999999
118,CNP0288771,0,False,False,366.32172298230677,1.284426391965283,20,0,7,0.1,7,5,0,0,-0.8679999999999991
119,CNP0339832,0,False,False,606.8746535145525,1.814582843613504,36,0,7,0.7222222222222221,7,5,3,0,7.919000000000005
120,CNP0272185,0,False,False,415.4646930180945,-0.046492163229075005,20,3,5,0.35000000000000003,8,1,0,0,1.287
121,CNP0410651,0,False,False,565.4124879060471,0.161284983729772,28,2,6,0.21428571428571402,8,1,1,0,3.318
122,CNP0374774,0,False,False,424.7026380148472,2.310765125324002,30,0,1,0.9,1,0,1,0,11.781000000000006
123,CNP0129981,0,False,False,498.5243709960962,1.366249326079291,30,0,7,0.23333333333333303,7,3,0,0,3.313999999999999
124,CNP0436867,0,False,False,249.35245444170252,1.183626200737873,14,3,1,0.785714285714285,4,2,0,0,0.9470000000000001
125,CNP0436868,0,False,False,216.31925845590519,1.740535044621885,15,0,1,0.6000000000000001,1,0,0,0,3.973
126,CNP0436869,0,False,False,430.45679064550086,-0.21846531836365501,24,4,4,0.16666666666666602,5,3,0,0,0.8480000000000001
127,CNP0123130,0,False,False,392.4436294326559,2.039184297265357,21,0,7,0.6190476190476191,7,0,0,0,1.018
128,CNP0050505,0,False,False,331.2297863787589,-0.123199825558105,13,1,1,0.461538461538461,2,1,0,0,3.821
129,CNP0436870,0,False,False,402.40029024690716,-0.062867351836041,23,2,5,0.043478260869565,4,2,0,0,1.846
130,CNP0064528,0,False,False,307.03027413107094,-1.243130416340078,9,0,0,0.33333333333333304,0,0,0,0,3.721
131,CNP0111785,0,False,False,462.5767164548537,1.8449808571775592,26,0,7,0.6538461538461531,7,0,1,0,4.291
132,CNP0015630,0,False,False,505.0313984935034,0.258190052674501,24,4,4,0.5,8,1,1,0,0.9460000000000001
133,CNP0059070,0,False,False,326.36975216885315,0.10864430271028301,14,2,5,0.5,7,0,0,0,-0.649
134,CNP0243196,0,False,False,644.752001594403,2.061352313976116,38,0,9,0.5,9,3,1,0,3.4290000000000003
135,CNP0436871,0,False,False,471.48824025652385,0.321733699691077,21,5,6,0.38095238095238004,11,1,1,0,-0.8189999999999991
136,CNP0395095,0,False,False,398.40672080648903,2.142804141455582,22,0,7,0.5,7,0,0,0,0.772
137,CNP0386381,0,False,False,385.3697647783937,-0.29038126480832904,23,1,5,0.043478260869565,6,0,0,0,2.592
138,CNP0407970,1,True,False,1073.0074643350472,1.377636672805726,48,0,27,0.625,27,11,4,0,-3.391999999999997
139,CNP0175414,0,False,False,278.1951427786429,-0.197711595019387,9,2,1,0.6666666666666661,3,2,0,0,3.627
140,CNP0184738,0,False,False,397.46831941401786,1.314866121082461,22,3,4,0.5454545454545451,7,3,0,0,-0.22200000000000003
141,CNP0334333,0,False,False,241.35783431878798,0.222718710934617,10,5,0,0.7000000000000001,5,2,0,0,2.774
142,CNP0316763,0,False,False,477.16292127442637,2.28181961815462,30,0,2,0.9,2,0,1,0,11.910000000000005
143,CNP0401526,0,False,False,274.31885880717897,0.06482681726594501,14,4,2,0.42857142857142805,6,1,0,0,-0.541
144,CNP0416400,0,False,False,650.8012809372799,1.223742415662784,41,0,7,0.34146341463414603,7,4,3,0,5.040000000000001
145,CNP0384246,0,False,False,330.3838692603376,-0.084909409304743,20,4,1,0.2,5,1,0,0,1.836
146,CNP0400712,0,False,False,352.3414651521036,0.37668763569005204,19,2,5,0.210526315789473,7,2,0,0,-0.193
147,CNP0369072,0,False,False,467.2659944697771,-0.020437065793454,23,0,6,0.043478260869565,6,0,0,0,3.173
148,CNP0056047,0,False,False,628.0280303770492,1.798737036400074,40,3,2,1.0,4,5,3,0,11.921000000000003
149,CNP0290862,0,False,False,414.5628544307158,0.540823643734972,23,2,3,0.478260869565217,5,2,0,0,3.607999999999999
150,CNP0436872,1,True,False,1393.4559522072636,2.256780575185029,54,0,35,0.962962962962962,35,13,4,1,-7.7950000000000035
151,CNP0312559,0,False,False,330.37570326098637,1.930583573544752,19,0,5,0.5789473684210521,5,0,0,0,2.129
152,CNP0409905,0,False,False,504.48582755000746,0.906776084461376,28,0,9,0.21428571428571402,9,1,1,0,1.971999999999999
153,CNP0219010,0,False,False,437.5355557093996,0.5866671281842081,24,5,3,0.45833333333333304,8,3,0,0,-1.047
154,CNP0436873,0,False,False,524.5767018988122,0.635095863541095,26,4,4,0.6538461538461531,8,1,1,0,0.609
155,CNP0365952,0,False,False,182.21674430414927,1.620631992446771,10,0,3,0.6000000000000001,3,1,0,0,0.649999999999999
156,CNP0197731,0,False,False,306.2696783182888,0.46906573866531903,18,0,5,0.0,5,1,0,0,1.506
157,CNP0436874,0,False,False,424.5335276664748,0.9081522405837291,25,2,4,0.48,6,2,0,0,3.34
158,CNP0099191,0,False,False,254.32261884947695,2.270081930920232,14,0,4,0.785714285714285,4,2,0,0,0.30099999999999905
159,CNP0080206,0,False,False,801.3723409634772,-0.39617964054028104,12,0,1,0.0,1,0,2,0,7.764999999999997
160,CNP0436875,0,False,False,372.37136618765055,1.187375064339225,11,0,10,0.45454545454545403,10,4,0,0,-2.588999999999999
161,CNP0260630,0,False,False,304.467631913324,1.6705828421403521,20,0,2,0.6000000000000001,2,2,2,0,7.434000000000001
162,CNP0134260,0,False,False,794.9235724190474,2.365983322163804,41,0,15,0.8780487804878041,15,3,2,0,1.147
163,CNP0075027,0,False,False,340.7992282917685,2.537714208268561,17,0,5,0.647058823529411,5,1,0,0,1.513999999999999
164,CNP0340181,0,False,False,552.8287942088897,1.816257810107761,36,0,4,0.6666666666666661,4,4,2,0,12.482000000000006
165,CNP0436876,0,False,False,532.7323498105069,2.7442271899841773,27,0,8,1.0,8,5,1,0,3.647999999999999
166,CNP0185944,0,False,False,230.30278187582297,0.843386773675429,15,0,2,0.33333333333333304,2,2,0,0,2.351
167,CNP0309481,0,False,False,520.5266916421766,1.277152785976055,26,0,11,0.5,11,5,2,0,-0.059000000000000004
168,CNP0135502,0,False,False,394.4213173654223,0.107091866208878,22,2,5,0.22727272727272702,7,1,0,0,0.04
169,CNP0211232,0,False,False,709.9661801425702,1.14376284401225,38,9,4,0.763157894736842,13,6,5,0,9.315
170,CNP0436877,0,False,False,710.974120896396,1.15066863736029,38,9,4,0.763157894736842,12,7,5,0,8.434
171,CNP0249291,0,False,False,597.0090810789815,1.7510796610257682,38,0,4,0.973684210526315,4,1,3,0,16.91400000000001
172,CNP0227149,0,False,False,544.634351404796,2.613181002230434,30,0,9,0.833333333333333,9,2,1,0,1.806
173,CNP0251815,0,False,False,246.34854637762874,1.514149733880568,15,2,1,0.8,3,0,0,0,1.2699999999999991
174,CNP0422193,0,False,False,706.947574899716,2.45996492036448,40,0,10,0.925,10,7,3,0,6.411
175,CNP0004802,0,False,False,320.38901487120114,0.14293772113633102,19,4,1,0.26315789473684204,5,1,0,0,0.637
176,CNP0334802,1,True,False,2067.2628596758796,2.541753898564683,98,1,45,0.8571428571428571,46,24,4,0,-0.20399999999999502
177,CNP0333841,0,False,False,474.63054633616343,2.5202346802274302,28,0,6,0.8571428571428571,6,1,1,0,6.834
178,CNP0096266,0,False,False,1141.5657784266814,2.044629249494573,62,2,13,0.82258064516129,15,9,5,2,9.572999999999999
179,CNP0063559,0,False,False,451.54162546277286,0.137217580280938,20,5,5,0.55,10,2,0,0,-0.463
180,CNP0159027,0,False,False,195.0864563041509,1.390869157125335,8,0,1,0.5,1,1,0,0,2.112
181,CNP0092385,0,False,False,941.1512030173546,2.678440399244585,49,0,17,0.9387755102040811,17,10,4,0,5.907000000000003
182,CNP0088966,0,False,False,752.9299081747724,2.609101684914676,40,0,13,0.925,13,8,3,0,4.744
183,CNP0153122,0,False,False,1278.6618357858786,1.6575102309564391,79,5,10,0.544303797468354,15,10,5,1,8.748
184,CNP0006965,0,False,False,355.36955436955486,-0.702645466513937,17,3,4,0.11764705882352901,7,2,0,0,1.035
185,CNP0379948,0,False,False,373.4004880462055,1.40275682686279,20,1,6,0.45,7,3,0,0,0.9470000000000001
186,CNP0203457,0,False,False,508.52575656466183,0.20852520752695403,29,4,5,0.172413793103448,9,3,1,0,1.013
187,CNP0131110,0,False,False,371.42770052307566,1.186741953724698,21,1,5,0.33333333333333304,6,4,0,0,4.147999999999998
188,CNP0423260,0,False,False,396.4371988730739,0.285563054953449,22,2,5,0.27272727272727204,5,1,0,0,1.808
189,CNP0380702,0,False,False,385.45921833715187,0.07597405851517701,24,3,2,0.25,5,1,0,0,1.57
190,CNP0004880,0,False,False,448.48708150648224,0.066233696620577,26,2,4,0.23076923076923,6,2,0,0,0.622
191,CNP0306486,0,False,False,456.6152599009425,1.791686928651152,28,0,5,0.642857142857142,5,1,1,0,6.8590000000000035
192,CNP0186675,0,False,False,322.4209115328789,1.5745788859987542,17,0,4,0.647058823529411,4,1,0,0,1.608
193,CNP0414167,0,False,False,422.47455217430144,0.9180917182041861,24,2,5,0.416666666666666,7,1,0,0,1.435
194,CNP0394092,0,False,False,404.41127134492206,1.5171871489119901,21,0,8,0.42857142857142805,8,5,0,0,0.9419999999999991
195,CNP0255415,0,False,False,286.32469429433036,1.5098371597089222,13,2,5,0.6923076923076921,7,5,0,0,-2.918
196,CNP0356367,0,False,False,290.31173255531917,2.213339853835607,16,0,5,0.75,5,0,0,0,0.764999999999999
197,CNP0436878,0,False,False,340.3323640752376,-0.23954818654023102,21,2,3,0.047619047619047006,5,0,0,0,0.724
198,CNP0278624,0,False,False,304.29525597523696,2.104124553638941,16,0,6,0.375,6,3,0,0,-0.456999999999999
199,CNP0282240,0,False,False,314.2901103643734,1.7382222223437371,17,0,6,0.17647058823529402,6,4,0,0,-0.21500000000000002
200,CNP0330516,0,False,False,436.4962691691044,1.74119184063446,23,0,8,0.652173913043478,8,0,1,0,1.955
201,CNP0288441,0,False,False,538.6728948508847,2.107847787411778,32,0,7,0.65625,7,2,1,0,4.676000000000001
202,CNP0159118,0,False,False,502.7699691140861,2.533975448519025,32,0,4,0.9687500000000001,4,2,2,0,8.985000000000001
203,CNP0151074,0,False,False,348.43935200296215,0.620219503991686,17,0,4,0.29411764705882304,4,0,0,0,2.285
204,CNP0072360,0,False,False,224.29659651746798,1.779415875588447,13,0,3,0.769230769230769,3,0,0,0,2.444
205,CNP0436879,0,False,False,873.0023391574819,1.842707065058273,50,4,10,0.44,14,9,3,0,1.971
206,CNP0354546,0,False,False,461.51066792873917,0.906163368251067,26,3,5,0.384615384615384,8,1,0,0,1.228
207,CNP0206216,0,False,False,232.23247541443106,0.739467655748215,13,0,4,0.23076923076923,4,0,0,0,1.238
208,CNP0265049,0,False,False,567.9289917551451,1.018346451233542,28,1,10,0.25,11,1,2,1,1.580999999999999
209,CNP0173037,0,False,False,456.701447869986,2.602077619647931,30,0,3,0.9,3,2,1,0,9.359
